Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
com.pos.bisaaiacademy,65,2.0.0.6,en,sweet,2021-07-08T14:57:14Z,1625756234391,2021-07-08T14:57:14Z,1625756234391,4,,"Saya sudah pernah ikut kelas berbayar dan gratis nya, dan worth it banget apalagi untuk yang pemula bisa banget join dinsininkarena penjelasannya diajarkan dari basic",,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOHtt77FkdzkizhCz566KLHHaQtfE2VpWGTK7gMQiJXVQn75a_JLTtm60a_d6RXHGQDS-7JRrqdbOzSw&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,id,RMX2185,2021-07-09T09:06:32Z,1625821592018,2021-07-09T09:06:32Z,1625821592018,5,,Aplikasinya sejauh ini lancar banyak ada materi tentang data analyst yang bener-bener diperlukan thankyou,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOEkU2YIqIVBoZzot6w7H___sIeUgaSlqJtFQuRYJ7GjQBzLBbjU4RQ8fSREfjM1i50n54M-FvbS8JUs&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,id,m20lte,2021-07-10T06:35:20Z,1625898920223,2021-07-10T06:35:21Z,1625898921583,5,,"Aplikasinya sangat bagus, cocok buat yang mau belajar tentang dunia IT. Materi yang disediakan sangat mudah dipahami. goodjob bisa ai!",,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOEeK3LIAwhLE46uWlbvhqk5Ki3Q22xALUGkJJc1UKwdtwTx8JRW_WTbuiudPKhmwhKpDvaCss437DLj&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,en,on7xelte,2021-07-10T09:56:54Z,1625911014289,2021-07-10T09:56:54Z,1625911014289,5,,Great app for learning!,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOGBlH1WFSKsO4nfFHv58shonq0RQXGV-mNmkgXW82ii718oC6sa3WF8LL8RVqafCaQolnyFtvqH0Dx5&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,id,ginkgo,2021-07-10T13:56:36Z,1625925396142,2021-07-10T13:56:36Z,1625925396142,5,,Aplikasinya bagus dan menarik,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOHncwtEQ0oqw1OZuqV8TAEZ7fd8gu3HR9WPeG93uSOKh8PZSIRRLey4DZjfi0MA3wwG_QBKiyj3Olb3&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,id,sweet,2021-07-10T14:17:08Z,1625926628632,2021-07-10T14:17:08Z,1625926628632,5,,Baguslah fitur-fitur yang ada sangat recomended untuk belajar,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOFJbN2DgfHexjDamJpa-fwhK5p9KlLEBQ2rSKFOVB95SoWFOuylxWhYBAOJJtuxR8-URqCktkjrjE-M&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,en,starlte,2021-07-10T22:53:15Z,1625957595424,2021-07-10T22:53:15Z,1625957595424,5,,Kelas kelasnya sangat bagus dan reccomended.,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOG0uGNQnalHlDN9cYBL2DNq9mgj0eBO517MhAOLMXqEsfQEVfFJtp9c4YuiY4QFh4dzpKVljo0g4yhg&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,id,1609,2021-07-11T05:07:27Z,1625980047487,2021-07-11T05:07:27Z,1625980047487,5,,Aplikasi yang keren banget dan sangat membantu. Makasih developer udah buat aplikasi ini.,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOE6OyBrtrkmBxFuYdG6bfd1MH-1d8qWRr1WhTe83lCi3FSngiFaaNN03pbqpK_kNvUKkTEEjEZZASQd&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,id,1804,2021-07-12T14:21:07Z,1626099667968,2021-07-12T14:21:07Z,1626099667968,5,,Aplikasi yang sangat berguna dalam mempelajari AI secara lengkap. Pengguna tidak perlu mencari platform lain karena sudah ada di sini semua.,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOHgSqSRPTlUofViypZd2E63SYn7bf1Ejzcz07txxQwYn_RYpdkfYb0MuYCuGjpY4iveDuFbi6htcWAE&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,en,greatlte,2021-07-12T14:22:35Z,1626099755911,2021-07-12T14:22:35Z,1626099755911,5,,So much info that i can get here,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOGg2qBI6ZK4ErN4A2JS-dFolZWkPZQBsktl3Htq7zcR67nkkBb-w_W-d6LeNguqahE9WuMWs9E1TTac&corpus=PUBLIC_REVIEWS
